epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.04822,1.89858,4.10171,1.7451,0.00633,1,0.06365,0.02026,1.98462,5.28302,2.26048,2.727e-05,2.727e-05,2.727e-05
2,11.9049,1.65895,4.13123,1.87658,0.00704,1,0.08575,0.0398,1.18264,5.07113,1.82425,6.23701e-05,6.23701e-05,6.23701e-05
3,17.5085,1.31975,3.82661,1.57278,0.00845,1,0.15236,0.08288,0.90094,4.84068,1.72085,9.60304e-05,9.60304e-05,9.60304e-05
4,23.2983,1.31355,3.84237,1.54989,0.01043,1,0.62187,0.26023,0.7746,4.63495,1.72726,0.000128251,0.000128251,0.000128251
5,29.0982,1.23593,3.57885,1.5612,0.01214,1,0.6375,0.19849,0.58894,4.42436,1.5447,0.000159031,0.000159031,0.000159031
6,34.7483,1.04333,3.36113,1.29755,0.01383,1,0.31792,0.18874,0.53615,4.42989,1.46924,0.000188372,0.000188372,0.000188372
7,40.5299,1.0161,3.56089,1.48949,0.01848,1,0.33326,0.27623,0.50387,4.34283,1.39025,0.000216273,0.000216273,0.000216273
8,46.3479,0.90552,3.19098,1.2766,0.01667,1,0.36372,0.30247,0.52268,4.28685,1.40225,0.000242734,0.000242734,0.000242734
9,52.4205,1.02631,3.10876,1.43301,0.01488,1,0.44677,0.37631,0.54865,4.21862,1.45432,0.000267755,0.000267755,0.000267755
10,58.5239,0.96863,3.18929,1.36235,0.01331,1,0.31092,0.24421,0.60614,4.22268,1.55985,0.000291336,0.000291336,0.000291336
11,64.7482,0.74469,2.89316,1.21929,0.01239,1,0.30267,0.22448,0.65466,4.17733,1.57937,0.000313478,0.000313478,0.000313478
12,70.8478,1.13869,3,1.45728,0.01252,1,0.32524,0.2611,0.80681,4.11745,1.62338,0.000334179,0.000334179,0.000334179
13,76.998,0.76668,2.60955,1.17996,0.01194,1,0.28325,0.24292,0.97078,4.17159,1.851,0.000353441,0.000353441,0.000353441
14,82.9255,0.93018,2.85556,1.35339,0.01188,1,0.2101,0.14782,0.8912,4.16617,1.77181,0.000371263,0.000371263,0.000371263
15,88.9688,0.85517,2.93913,1.21004,0.10341,0.5,0.24075,0.19921,0.82733,3.97618,1.69816,0.000387645,0.000387645,0.000387645
16,94.8478,0.73285,4.46545,1.0176,0.10341,0.5,0.24075,0.19921,0.82733,3.97618,1.69816,0.000402587,0.000402587,0.000402587
17,101.029,0.8297,2.93644,1.23815,0.68564,0.49306,0.3525,0.25102,0.91617,4.1749,2.03355,0.000416089,0.000416089,0.000416089
18,107.124,0.81581,2.7109,1.24668,0.71196,0.5,0.41458,0.27362,0.93869,4.61782,2.18249,0.000428152,0.000428152,0.000428152
19,113.114,0.77629,2.35474,1.17199,0.71196,0.5,0.41458,0.27362,0.93869,4.61782,2.18249,0.000438774,0.000438774,0.000438774
20,118.989,0.94845,2.6105,1.28911,0.01422,1,0.6855,0.33372,1.06186,5.1068,2.25313,0.000447957,0.000447957,0.000447957
21,124.821,0.86265,2.51911,1.2619,0.01422,1,0.34858,0.18234,1.10401,5.84068,2.34434,0.0004557,0.0004557,0.0004557
22,130.654,1.04999,2.74927,1.41177,0.01422,1,0.34858,0.18234,1.10401,5.84068,2.34434,0.000462003,0.000462003,0.000462003
23,136.586,1.02114,2.87692,1.40535,0.16343,0.5,0.37417,0.21069,1.15741,6.97082,2.44193,0.000466866,0.000466866,0.000466866
24,142.548,1.37741,3.75729,1.50195,0.16343,0.5,0.37417,0.21069,1.15741,6.97082,2.44193,0.000470289,0.000470289,0.000470289
25,148.373,0.86513,2.45889,1.26335,0.24165,0.47215,0.45688,0.25058,1.23484,6.67052,2.25811,0.000472273,0.000472273,0.000472273
26,154.39,1.19286,3.07846,1.77999,0.24165,0.47215,0.45688,0.25058,1.23484,6.67052,2.25811,0.000459045,0.000459045,0.000459045
27,160.389,1.44944,3.4946,1.57967,0.19802,0.5,0.432,0.27045,1.12068,4.96557,1.96941,0.000441047,0.000441047,0.000441047
28,166.323,1.04473,2.71407,1.71434,0.19802,0.5,0.432,0.27045,1.12068,4.96557,1.96941,0.000423049,0.000423049,0.000423049
