epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2394,2.5305,3.98377,2.39207,0.00154,0.54762,0.01004,0.00571,2.72862,5.52555,2.74676,1.818e-05,1.818e-05,1.818e-05
2,49.4346,1.99215,3.82538,2.06305,0.00228,0.57619,0.01656,0.00885,2.43092,5.61974,2.46751,4.45501e-05,4.45501e-05,4.45501e-05
3,65.9089,1.71939,3.86467,2.06338,0.00365,0.65714,0.04367,0.02283,2.39218,5.43247,2.43943,6.98403e-05,6.98403e-05,6.98403e-05
4,82.3605,1.30983,3.58433,1.7536,0.00442,0.68571,0.15071,0.06068,1.83967,5.14063,2.187,9.40506e-05,9.40506e-05,9.40506e-05
5,98.6892,1.28312,3.59773,1.597,0.00487,0.85714,0.165,0.06827,1.43418,4.92618,1.9912,0.000117181,0.000117181,0.000117181
6,114.98,1.41936,3.65349,1.80662,0.00469,0.85714,0.28044,0.16849,0.81313,4.39382,1.684,0.000139232,0.000139232,0.000139232
7,131.244,1.51104,3.62592,1.7698,0.00472,0.85714,0.28027,0.15777,0.74902,4.3447,1.63801,0.000160202,0.000160202,0.000160202
8,147.36,1.51508,3.54632,1.8014,0.00454,0.85714,0.25072,0.14609,0.76176,4.2625,1.58281,0.000180093,0.000180093,0.000180093
9,163.334,1.09983,3.49335,1.4963,0.00457,0.85714,0.20025,0.1309,0.81437,4.24785,1.6005,0.000198904,0.000198904,0.000198904
10,185.065,1.51643,4.02556,1.8974,0.00454,0.85714,0.1902,0.13006,0.77978,4.23777,1.54347,0.000216635,0.000216635,0.000216635
11,201.716,1.2693,3.21941,1.64612,0.00443,0.85714,0.18682,0.12956,0.79725,4.18398,1.56246,0.000233286,0.000233286,0.000233286
12,217.797,1.08017,3.23526,1.59691,0.00426,0.85714,0.18546,0.12407,0.79177,4.12714,1.56832,0.000248857,0.000248857,0.000248857
13,234.386,0.96693,3.09528,1.48445,0.00398,0.85714,0.18709,0.1225,0.7006,4.102,1.56208,0.000263348,0.000263348,0.000263348
14,253.169,0.84499,3.12982,1.37379,0.00398,0.85714,0.2165,0.14159,0.65461,4.14253,1.49363,0.00027676,0.00027676,0.00027676
15,274.318,1.04096,3.08565,1.48581,0.00398,0.85714,0.2165,0.14159,0.65461,4.14253,1.49363,0.000289091,0.000289091,0.000289091
16,322.853,0.98961,2.90681,1.46084,0.00396,0.85714,0.21921,0.15042,0.68477,4.06338,1.48656,0.000300343,0.000300343,0.000300343
17,343.828,1.06008,2.82748,1.56637,0.0039,0.85714,0.25285,0.18053,0.64809,4.02392,1.42385,0.000310514,0.000310514,0.000310514
18,371.536,1.106,2.96126,1.6229,0.0039,0.85714,0.25285,0.18053,0.64809,4.02392,1.42385,0.000319606,0.000319606,0.000319606
19,389.364,1.03398,2.95566,1.51167,0.00375,0.85714,0.22928,0.17222,0.70375,3.78817,1.48115,0.000327618,0.000327618,0.000327618
20,413.609,0.8512,2.80567,1.3776,0.00375,0.85714,0.25268,0.20217,0.75302,3.57689,1.53552,0.00033455,0.00033455,0.00033455
21,475.295,0.97016,2.94897,1.60197,0.00375,0.85714,0.25268,0.20217,0.75302,3.57689,1.53552,0.000340402,0.000340402,0.000340402
22,501.525,1.69954,3.30619,2.07932,0.92825,0.09524,0.22791,0.18156,0.79869,3.36889,1.529,0.000345175,0.000345175,0.000345175
23,522.309,1.05386,2.72483,1.38871,0.92825,0.09524,0.22791,0.18156,0.79869,3.36889,1.529,0.000348867,0.000348867,0.000348867
24,539.095,1.71089,3.55421,2.08123,0.76656,0.11905,0.37329,0.27259,0.85155,3.03658,1.60569,0.000351479,0.000351479,0.000351479
25,560.367,1.13161,2.82823,1.58808,0.76656,0.11905,0.37329,0.27259,0.85155,3.03658,1.60569,0.000353012,0.000353012,0.000353012
26,601.26,1.55955,2.95901,1.95276,0.70991,0.16037,0.36188,0.2853,0.78734,2.91929,1.56413,0.000353465,0.000353465,0.000353465
27,639.319,0.99931,3.25617,1.83891,0.70991,0.16037,0.36188,0.2853,0.78734,2.91929,1.56413,0.000352837,0.000352837,0.000352837
28,662.474,1.15202,3.21989,1.76539,0.72244,0.27619,0.34621,0.26276,0.74429,3.07824,1.55494,0.00035113,0.00035113,0.00035113
29,692.768,1.58269,3.10637,1.81888,0.72244,0.27619,0.34621,0.26276,0.74429,3.07824,1.55494,0.000348343,0.000348343,0.000348343
30,726.155,1.1705,2.59988,1.52018,0.72244,0.27619,0.34621,0.26276,0.74429,3.07824,1.55494,0.000344476,0.000344476,0.000344476
31,756.16,0.84487,2.36469,1.37059,0.70224,0.2,0.35781,0.27456,0.69744,3.05468,1.50445,0.00033953,0.00033953,0.00033953
32,783.165,0.80169,2.34348,1.42538,0.70224,0.2,0.35781,0.27456,0.69744,3.05468,1.50445,0.000333503,0.000333503,0.000333503
33,813.481,0.83006,2.8368,1.43281,0.75846,0.2721,0.45066,0.36534,0.61691,2.57643,1.44591,0.000326396,0.000326396,0.000326396
34,830.808,0.92032,2.75045,1.55846,0.75846,0.2721,0.45066,0.36534,0.61691,2.57643,1.44591,0.000315059,0.000315059,0.000315059
35,849.388,0.81586,2.41379,1.36493,0.75846,0.2721,0.45066,0.36534,0.61691,2.57643,1.44591,0.000297061,0.000297061,0.000297061
36,865.959,0.97439,2.34388,1.46033,0.78198,0.29996,0.53704,0.43118,0.57383,2.32717,1.42519,0.000279063,0.000279063,0.000279063
37,882.752,1.04444,2.46215,1.61505,0.78198,0.29996,0.53704,0.43118,0.57383,2.32717,1.42519,0.000261065,0.000261065,0.000261065
38,902.09,0.79091,2.18138,1.32567,0.78198,0.29996,0.53704,0.43118,0.57383,2.32717,1.42519,0.000243067,0.000243067,0.000243067
39,918.543,0.97927,2.71888,1.4078,0.80766,0.37143,0.66653,0.49473,0.60363,2.45356,1.44871,0.000225068,0.000225068,0.000225068
40,935.535,1.43151,2.62621,1.92159,0.80766,0.37143,0.66653,0.49473,0.60363,2.45356,1.44871,0.00020707,0.00020707,0.00020707
41,951.577,1.57455,3.39729,2.3401,0.91496,0.3612,0.72627,0.59022,0.58166,2.31907,1.43685,0.000189072,0.000189072,0.000189072
42,967.584,0.94566,2.8901,1.62511,0.91496,0.3612,0.72627,0.59022,0.58166,2.31907,1.43685,0.000171074,0.000171074,0.000171074
